city,activity,name,latitude,longitude,price,rating,place_id
Luxor,Historic,Temple Of Karnak,25.71882492,32.65725957,12.71,4,307
Luxor,Historic,Valley of The Kings,25.74012534,32.60142203,15.25,4,308
Luxor,Historic,Luxor Temple,25.69949232,32.63904017,10.17,4,309
Luxor,Historic,Temple of Deir Bahari,25.72887932,32.60221127,8.9,4,310
Luxor,Historic,Madinet Habu,25.71935175,32.6013401,6.35,4,311
Luxor,Historic,Tombs of The Nobles,25.73075088,32.60932897,2.54,4,312
Luxor,Historic,Colossi Of Memnon,25.72058782,32.6104556,0,4,313
Luxor,Historic,Rammeseum,25.72802418,32.6104602,3.81,4,314
Luxor,Historic,Luxor Museum,25.70770019,32.64446327,8.9,4,315
Luxor,Historic,Deir El- Madina,25.72803432,32.60141427,6.35,4,316
Luxor,Historic,Mortuary Temple Seti,25.73268471,32.62810675,7,4,317
Luxor,Historic,Tomb of TutAnkhAmon,25.74035146,32.6014077,19.06,4,318
Luxor,Historic,Mummification Museum,25.70229725,32.6398497,6.35,4,319
Luxor,Historic,Komombo Temple,24.45214295,32.92842117,8.9,4,320
Luxor,Historic,Temple of Edfu,24.97750067,32.87334904,11.44,4,321
Luxor,Entertainment,Hot Air Balloon,25.68724308,32.63962497,12,4,322
Luxor,Entertainment,Felucca to Banana Island,25.69965482,32.63701643,6,4,323
Luxor,Cafe and Restaurant,Aisha Restaurant,25.69629545,32.62892086,300,4,324
Luxor,Cafe and Restaurant, El Tarboush,25.69227807,32.63120571,200,4,325
Luxor,Cafe and Restaurant,steigenberger Nile palace,25.6936054,32.63172375,300,4,326
Luxor,Cafe and Restaurant, Al-Sahaby Lane,25.7077201,32.64374784,200,4,327
Luxor,Cafe and Restaurant, Pizza Roma-it,25.69361331,32.63412577,250,4,328
Luxor,Cafe and Restaurant, The Lantern Room,25.69474859,32.63115246,200,4,329
Luxor,Cafe and Restaurant, Sofra Restaurant ,25.70114947,32.64161988,200,4,330
Luxor,Cafe and Restaurant, snobs,25.69165481,32.63080913,150,4,331
Luxor,Cafe and Restaurant,Sunflower ,25.70574714,32.63451222,150,4,332
Luxor,Cafe and Restaurant,SunRise Restaurant,25.6946887,32.63242479,200,4,333
Luxor,Cafe and Restaurant, Oasis Palace,25.71174874,32.64389747,250,4,334
Luxor,Cafe and Restaurant, Tutankhamon,25.70698452,32.63245228,100,4,335
Luxor,Cafe and Restaurant, A Taste of India,25.69583862,32.63268276,300,4,336
Luxor,Cafe and Restaurant,Gerda's Garden,25.73440364,32.66038346,150,4,337
Luxor,Cafe and Restaurant, Africa Restaurant,25.71135237,32.63102199,200,4,338
Luxor,Cafe and Restaurant,The Kings Head Pub,25.69235397,32.63061768,100,4,339
Luxor,Cafe and Restaurant, Elwaha Restaurant,25.70833461,32.6331729,150,4,340
Luxor,Cafe and Restaurant,Aboudi Break,25.7022647,32.6393096,150,4,341
Luxor,Cafe and Restaurant, Nubian House ,25.70314023,32.63107609,200,4,342
Luxor,Cafe and Restaurant, Tutti Frutti ,25.68746016,32.64869388,150,4,343
Luxor,Cafe and Restaurant, Wolf Restaurant,25.71877301,32.62620432,200,4,344
Luxor,Cafe and Restaurant,Esquire Restaurant,31.21741402,29.93798074,150,4,345
Luxor,Cafe and Restaurant,Marsam,25.72869239,32.60390029,100,4,346
Luxor,Cafe and Restaurant,1886 Restaurant,25.70207821,32.63695915,200,4,347
Luxor,Cafe and Restaurant,Maratonga,25.72330822,32.60042823,100,4,348
Luxor,Cafe and Restaurant, Nile View ,25.70663768,32.63161826,200,4,349
Luxor,Cafe and Restaurant,Secret Garden,25.69351108,32.63424236,250,4,350
Luxor,Cafe and Restaurant, Kam Thai,25.69156509,32.63171419,100,4,351
Luxor,Cafe and Restaurant,Sonesta St. George,25.72881821,32.6312329,200,4,352
Luxor,Cafe and Restaurant,Oasis Cafe,25.70692496,32.6383392,120,4,353
Luxor,Cafe and Restaurant,Quick Pizza ,25.69737376,32.63737536,130,4,354
Luxor,Cafe and Restaurant, Rosetta,25.73723117,32.65672249,200,4,355
Luxor,Cafe and Restaurant, Maxime,25.69140659,32.62969812,150,4,356
Luxor,Cafe and Restaurant, Jamboree ,25.70740647,32.64289297,200,4,357
Luxor,Cafe and Restaurant, La Fleur,25.67112674,32.62008173,200,4,358
Luxor,Cafe and Restaurant,Wannas Art,25.70837091,32.63118443,150,4,359
Luxor,Cafe and Restaurant, Snack Time,25.70597689,32.63896628,150,4,360
Luxor,Cafe and Restaurant, Silk Road ,25.73514239,32.65600925,150,4,361
Luxor,Cafe and Restaurant, El Fayrouz,25.70904539,32.63265052,200,4,362
Luxor,Cafe and Restaurant, JJ's Bar,25.70779219,32.63149418,150,4,363
Luxor,Cafe and Restaurant, Zigolini,25.67236448,32.62248499,300,4,364
Luxor,Cafe and Restaurant, McDonald's,25.7059069,32.64041167,350,4,365
Luxor,Cafe and Restaurant, African garden,25.71202364,32.63187913,150,4,366
Luxor,Cafe and Restaurant, Malkata House,25.72317082,32.59499763,150,4,367
Luxor,Cafe and Restaurant, Blue Sky,25.68764596,32.64897295,200,4,368
Luxor,Cafe and Restaurant, 88 Restaurant,25.69109363,32.64014849,150,4,369
Luxor,Cafe and Restaurant,Bon Appetit,25.69035306,32.63462601,150,4,370
Luxor,Cafe and Restaurant,"Victoria Room,Winter",25.70053142,32.63592918,200,4,371
Luxor,Cafe and Restaurant, Jana,25.73488155,32.65438741,250,4,372
Luxor,Cafe and Restaurant,Oum Hashim,25.70679947,32.64665423,250,4,373
Luxor,Cafe and Restaurant, Memnon Guesthouse,25.72504125,32.60760311,100,4,374
Luxor,Cafe and Restaurant,Cup Coffee Sunrise,25.70880306,32.63161826,250,4,375
Luxor,Cafe and Restaurant, L'Oasis,25.70180707,32.63770986,250,4,376
Luxor,Cafe and Restaurant, Restaurant Mohammed,25.72957532,32.60538715,150,4,377
Luxor,Cafe and Restaurant,Baris Cafe,25.72305421,32.61424762,150,4,378
Luxor,Cafe and Restaurant,Philadelphia,25.70216227,32.64457307,200,4,379
Luxor,Cafe and Restaurant, Panorama,25.73370014,32.61097269,250,4,380
Luxor,Cafe and Restaurant, El Zaeem ,25.70642484,32.64485804,250,4,381
Luxor,Cafe and Restaurant, Ramesseum ,25.72166324,32.66019025,350,4,382
Luxor,Cafe and Restaurant, AL Hoot,25.69444715,32.64065391,200,4,383
Luxor,Cafe and Restaurant, Castello,25.6915951,32.63678428,150,4,384
Luxor,Cafe and Restaurant,Olives,25.73519082,32.65679067,150,4,385
Luxor,Cafe and Restaurant, Al Hareef,25.70204639,32.64187225,200,4,386
Luxor,Cafe and Restaurant, Nour El Gourna,25.72814431,32.60545385,250,4,387
Luxor,Cafe and Restaurant, El Hussein,25.73256622,32.65765327,200,4,388
Luxor,Cafe and Restaurant, Hotel El Mesala,25.70917978,32.63592511,150,4,389
Luxor,Cafe and Restaurant, Pizza Home,25.69363332,32.63934716,150,4,390
Luxor,Cafe and Restaurant, Chicken Broast,25.70380689,32.64447522,200,4,391
Luxor,Cafe and Restaurant, El Gazira Gardens,25.70865061,32.63191282,150,4,392
Luxor,Cafe and Restaurant, Bil Hana Wa Shifa,25.71108783,32.63556718,150,4,393
Luxor,Cafe and Restaurant,The Roof,25.70953682,32.64335468,200,4,394
Luxor,Cafe and Restaurant, BUA KHAO,25.69163198,32.63028552,250,4,395
Luxor,Cafe and Restaurant, Nero Caffe,25.69138821,32.63474992,220,4,396
Luxor,Cafe and Restaurant, Corniche,25.72110879,32.65008569,230,4,397
Luxor,Cafe and Restaurant, Desert Rose,25.72483375,32.6003777,100,4,398
Luxor,Cafe and Restaurant, The Old Egyptian Village,25.69763475,32.62199712,150,4,399
Luxor,Cafe and Restaurant, Murphy's Irish ,25.69515025,32.6314548,200,4,400
Luxor,Cafe and Restaurant, Nile Valley,25.70928862,32.63147861,150,4,401
Luxor,Cafe and Restaurant, Moon Valley,25.72301483,32.61954682,200,4,402
Luxor,Cafe and Restaurant, La Mammas ,25.68858794,32.62994511,250,4,403
Luxor,Cafe and Restaurant,Elnakhil,25.71140882,32.63162725,150,4,404
Luxor,Cafe and Restaurant, Georgina,25.6921673,32.6364882,300,4,405
Luxor,Cafe and Restaurant, Habou Garden,25.72440745,32.60176089,350,4,406
Luxor,Cafe and Restaurant, Kabab Abou Hager ,25.70049961,32.64084228,200,4,407
Luxor,Cafe and Restaurant, Abu Gad,25.72265531,32.64768243,150,4,408
Luxor,Cafe and Restaurant, Makany ,25.75086268,32.6375444,150,4,409
Luxor,Cafe and Restaurant, Tudor Rose,25.69433366,32.63199882,200,4,410
Luxor,Cafe and Restaurant,Asmak El-qersh,25.69256795,32.63507267,250,4,411
Luxor,Cafe and Restaurant, New Memnon,25.72508758,32.61290947,250,4,412
Luxor,Cafe and Restaurant,Abou Alhassan Elshazly,25.70130104,32.64159605,150,4,413
Luxor,Cafe and Restaurant,Castello,25.6913226,32.63097217,200,4,414
Luxor,Cafe and Restaurant,Cleopatra,25.71317754,32.63016126,250,4,415
Luxor,Cafe and Restaurant,Ritz,25.69517112,32.63312392,255,4,416
Luxor,Cafe and Restaurant,Bonjour ,25.73488473,32.66128176,300,4,417
Luxor,Cafe and Restaurant,Mamma Mia!,25.6937641,32.63419135,200,4,418
Luxor,Cafe and Restaurant, Sindbad,25.71717714,32.64811885,150,4,419
Luxor,Cafe and Restaurant, Salt & Bread,25.70181376,32.64647931,150,4,420
Luxor,Cafe and Restaurant, Beban,25.6937524,32.62942083,200,4,421
Luxor,Cafe and Restaurant,Gaddis,25.69640861,32.6327806,150,4,422
Luxor,Cafe and Restaurant, Badiea ,25.68210178,32.62574926,150,4,423
Luxor,Cafe and Restaurant,Bahary,25.70501319,32.64150178,150,4,424
Luxor,Cafe and Restaurant,House of the Scorpion,25.70773046,32.63347497,200,4,425
Luxor,Cafe and Restaurant,KFC,25.6912672,32.62911878,150,4,426
Luxor,Cafe and Restaurant,New Oum Hashim,25.70735286,32.64348475,150,4,427
